Europe/Lisbon,Open,High,Low,Close,Volume
2025-11-12T17:00:00+00:00,24376.166,24399.799,24366.666,24395.666,422520
2025-11-12T18:00:00+00:00,24396.177,24408.166,24384.699,24392.166,224520
2025-11-12T19:00:00+00:00,24392.799,24402.299,24377.655,24391.177,204480
2025-11-12T20:00:00+00:00,24390.688,24424.177,24385.655,24419.288,240360
2025-11-12T21:00:00+00:00,24418.788,24426.466,24405.955,24422.277,23115
2025-11-12T23:00:00+00:00,24410.199,24413.499,24349.188,24365.588,44385
2025-11-13T00:00:00+00:00,24365.255,24433.199,24365.255,24411.699,44865
2025-11-13T01:00:00+00:00,24411.077,24492.099,24407.566,24471.588,80820
2025-11-13T02:00:00+00:00,24471.099,24471.099,24439.555,24448.566,44340
2025-11-13T03:00:00+00:00,24449.555,24475.099,24441.066,24466.066,33780
2025-11-13T04:00:00+00:00,24465.555,24477.099,24454.577,24473.066,19980
2025-11-13T05:00:00+00:00,24473.566,24489.088,24460.088,24464.199,26580
2025-11-13T06:00:00+00:00,24463.555,24503.555,24437.066,24447.099,48720
2025-11-13T07:00:00+00:00,24447.599,24493.199,24415.899,24423.266,239640
2025-11-13T08:00:00+00:00,24422.899,24422.899,24369.399,24401.299,621480
2025-11-13T09:00:00+00:00,24402.288,24405.899,24281.788,24317.288,492000
2025-11-13T10:00:00+00:00,24316.766,24320.788,24261.755,24263.755,346560
2025-11-13T11:00:00+00:00,24264.266,24269.799,24192.755,24232.755,397800
2025-11-13T12:00:00+00:00,24233.266,24264.266,24207.399,24248.399,309240
2025-11-13T13:00:00+00:00,24248.799,24260.777,24218.266,24231.399,368520
2025-11-13T14:00:00+00:00,24230.799,24248.788,24153.266,24160.899,652320
2025-11-13T15:00:00+00:00,24161.799,24179.277,24065.788,24086.266,774240
2025-11-13T16:00:00+00:00,24085.277,24090.777,24000.155,24025.199,778440
2025-11-13T17:00:00+00:00,24024.688,24055.699,24008.166,24012.666,636240
2025-11-13T18:00:00+00:00,24013.699,24035.677,23941.155,23973.655,531480
2025-11-13T19:00:00+00:00,23974.655,23996.199,23931.188,23948.655,601680
2025-11-13T20:00:00+00:00,23950.299,24077.199,23944.677,24069.766,602040
2025-11-13T21:00:00+00:00,24069.277,24099.355,24067.755,24099.355,23190
2025-11-13T23:00:00+00:00,24062.266,24082.699,24059.355,24062.888,42585
2025-11-14T00:00:00+00:00,24063.155,24098.566,24059.055,24061.599,42180
2025-11-14T01:00:00+00:00,24061.066,24075.199,24044.566,24060.566,51840
2025-11-14T02:00:00+00:00,24059.199,24118.566,24056.588,24101.055,36900
2025-11-14T03:00:00+00:00,24101.577,24107.588,24073.066,24081.066,40800
2025-11-14T04:00:00+00:00,24081.588,24084.577,24045.099,24065.566,52260
2025-11-14T05:00:00+00:00,24066.055,24101.555,24034.566,24092.099,49140
2025-11-14T06:00:00+00:00,24094.199,24108.055,24048.199,24108.055,76680
2025-11-14T07:00:00+00:00,24106.566,24110.677,23980.288,23994.766,370020
2025-11-14T08:00:00+00:00,23997.277,24025.288,23812.255,23872.288,867240
2025-11-14T09:00:00+00:00,23873.288,23904.399,23792.788,23836.288,568800
2025-11-14T10:00:00+00:00,23835.277,23866.299,23771.766,23790.399,485520
2025-11-14T11:00:00+00:00,23789.799,23799.788,23648.288,23672.788,572250
2025-11-14T12:00:00+00:00,23669.266,23688.277,23626.288,23654.399,635760
2025-11-14T13:00:00+00:00,23652.299,23680.288,23608.399,23674.277,576360
2025-11-14T14:00:00+00:00,23673.777,23824.255,23656.755,23824.255,837600
2025-11-14T15:00:00+00:00,23826.288,23888.299,23800.766,23855.799,1047960
2025-11-14T16:00:00+00:00,23856.899,23897.699,23804.255,23882.188,719880
2025-11-14T17:00:00+00:00,23881.799,23907.177,23858.677,23882.199,571560
2025-11-14T18:00:00+00:00,23881.699,23893.188,23827.666,23858.166,547920
2025-11-14T19:00:00+00:00,23857.299,23883.799,23840.699,23880.655,440520
2025-11-14T20:00:00+00:00,23879.299,23887.699,23832.688,23841.299,416520
2025-11-14T21:00:00+00:00,23840.799,23840.799,23840.255,23840.255,240
2025-11-16T23:00:00+00:00,23802.199,23862.566,23790.655,23853.477,53670
2025-11-17T00:00:00+00:00,23852.899,23866.077,23816.799,23857.199,57135
2025-11-17T01:00:00+00:00,23857.555,23877.699,23837.588,23838.599,62040
2025-11-17T02:00:00+00:00,23839.555,23864.588,23833.055,23859.599,51000
2025-11-17T03:00:00+00:00,23859.199,23872.555,23849.066,23868.588,33660
